k,rank,r_2,r_3,P,Q,P_minus_Q,z_cell
80,1,5,5,1.884058e-02,3.057583e-03,+1.578299e-02,226.6625
80,2,13,13,1.423549e-02,2.437840e-03,+1.179765e-02,189.7459
80,3,11,11,1.137951e-02,1.306266e-03,+1.007325e-02,221.3263
80,4,23,23,9.850826e-03,7.816717e-04,+9.069155e-03,257.5930
80,5,19,80,1.401190e-02,5.253928e-03,+8.757969e-03,95.9491
80,6,25,53,1.045501e-02,1.734338e-03,+8.720668e-03,166.2886
80,7,31,76,9.711278e-03,1.761878e-03,+7.949401e-03,150.3924
80,8,17,17,9.474998e-03,1.684345e-03,+7.790653e-03,150.7432
80,9,7,22,9.213345e-03,1.433932e-03,+7.779413e-03,163.1406
80,10,5,1,8.829588e-03,1.182242e-03,+7.647346e-03,176.6188
100,1,5,5,3.464283e-02,5.713870e-03,+2.892896e-02,237.1212
100,2,5,1,1.986772e-02,2.466597e-03,+1.740112e-02,217.0856
100,3,3,35,1.761968e-02,1.450795e-03,+1.616888e-02,263.0146
100,4,1,10,1.796353e-02,2.297470e-03,+1.566606e-02,202.5058
100,5,31,76,1.599421e-02,2.067156e-03,+1.392705e-02,189.7909
100,6,29,61,1.503560e-02,1.240215e-03,+1.379538e-02,242.7102
100,7,21,53,1.377221e-02,1.506074e-03,+1.226614e-02,195.8337
100,8,17,28,1.317829e-02,1.591324e-03,+1.158696e-02,179.9671
100,9,23,71,1.702575e-02,5.658442e-03,+1.136731e-02,93.6294
100,10,29,80,1.845325e-02,7.381161e-03,+1.107209e-02,79.8491
